Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
1,1,histoire,history
5,5,aide,help
6,6,demande,request
7,8,mois,month
8,9,frère,brother
9,10,car,because
11,13,laisse,leash
14,16,chaque,each
15,17,parlé,speak
16,18,arrivé,come
18,20,bébé,baby
19,21,longtemps,long time
20,23,aucune,any
22,25,parle,speak
26,30,pourrais,could
27,31,affaire,case
28,32,donner,give
29,33,leurs,their
30,34,train,train
31,35,corps,body
33,37,façon,way
37,41,premier,first
38,42,main,hand
39,43,première,first
40,44,côté,side
41,45,pouvoir,power
42,46,vieux,old
44,48,tiens,here
45,50,tellement,so much
46,51,point,point
49,54,venez,come
51,56,vers,towards
53,60,mis,placed
54,62,droit,law
55,63,aimerais,would like to
56,65,mari,husband
58,67,espère,hope
59,68,attendez,Wait
60,69,parti,left
61,70,nouvelle,new
62,71,boulot,job
64,73,terre,Earth
66,76,chérie,sweetheart
67,79,filles,girls
